Year,VE,95% CI,Strain
2011-2012,65%,(44 79),A/California/07/2009
2012-2013,,,A/California/07/2009
2013-2014,54%,(46 61),A/California/07/2009
2014-2015,,,A/California/07/2009
2015-2016,45%,(34 53),A/California/07/2009
2016-2017,,,A/California/07/2009
2017-2018,62%,(50 71),A/Michigan/45/2015
2018-2019,44%,(37 51),A/Michigan/45/2015
2019-2020,30%,(21 39),A/Brisbane/02/2018
2020-2021,,,A/Guangdong-Maonan/SWL1536/2019|A/Hawaii/70/2019
2021-2022,,,A/Victoria/2570/2019|A/Wisconsin/588/2019
2022-2023,56%,(28 72),A/Victoria/2570/2019|A/Wisconsin/588/2019